_row_id,batch_id,augment_id,augment_name,augment_img,trend,color_type,description,all_pick_rate_main,all_pick_rate_sub,avg_ranking,pick_rate_4,pick_rate_1,raw_json
1,4,3093,便携锻炉,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/portableforge2.png,2,2,从4件神器中选出1件。  神器是可以提供独特效果的强力装备。,6.24,0.49,4.41,50.88,10.7,"{""id"":3093,""name"":""便携锻炉"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/portableforge2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""从4件神器中选出1件。  神器是可以提供独特效果的强力装备。"",""stage"":[{""stagePickRate"":17.68,""avgRanking"":4.25},{""stagePickRate"":17.45,""avgRanking"":4.42},{""stagePickRate"":24.58,""avgRanking"":4.51}]},""allPickRate"":[6.24,0.49],""avgRanking"":4.41,""pickRate_4"":50.88,""pickRate_1"":10.7}"
2,4,20620,三，三，三！,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/3threes2.png,2,2,获得3个随机2星3费弈子和3金币。,5.9,0.47,4.4,51.84,13.28,"{""id"":20620,""name"":""三，三，三！"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/3threes2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""获得3个随机2星3费弈子和3金币。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":56.45,""avgRanking"":4.4}]},""allPickRate"":[5.9,0.47],""avgRanking"":4.4,""pickRate_4"":51.84,""pickRate_1"":13.28}"
3,4,20141,专属定制,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/exclusivecustomization2.png,0,2,获得1个【幸运装备宝箱】和1个【装备拆卸器】和10金币。  对一个英雄使用【幸运装备宝箱】，即可从一个推荐装备武器库中进行选择！,4.5,0.36,4.45,51.28,11.03,"{""id"":20141,""name"":""专属定制"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/exclusivecustomization2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得1个【幸运装备宝箱】和1个【装备拆卸器】和10金币。  对一个英雄使用【幸运装备宝箱】，即可从一个推荐装备武器库中进行选择！"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":15.29,""avgRanking"":4.26},{""stagePickRate"":27.77,""avgRanking"":4.56}]},""allPickRate"":[4.5,0.36],""avgRanking"":4.45,""pickRate_4"":51.28,""pickRate_1"":11.03}"
4,4,4804,英勇福袋++,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heroicgrabbag2.png,2,2,获得2个【次级英雄复制器】和14金币。  这个物品允许你能复制一个3费或以下的弈子。,3.83,0.3,4.24,56.16,10.27,"{""id"":4804,""name"":""英勇福袋++"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heroicgrabbag2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""获得2个【次级英雄复制器】和14金币。  这个物品允许你能复制一个3费或以下的弈子。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":36.68,""avgRanking"":4.24}]},""allPickRate"":[3.83,0.3],""avgRanking"":4.24,""pickRate_4"":56.16,""pickRate_1"":10.27}"
5,4,2069,DD街区,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/trade2.png,0,2,每回合获得1次免费的商店刷新。获得2金币。,3.75,0.3,4.31,54.17,12.93,"{""id"":2069,""name"":""DD街区"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/trade2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""每回合获得1次免费的商店刷新。获得2金币。"",""stage"":[{""stagePickRate"":35.89,""avgRanking"":4.31},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[3.75,0.3],""avgRanking"":4.31,""pickRate_4"":54.17,""pickRate_1"":12.93}"
6,4,2184,大百宝袋,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/grabbag2.png,0,2,获得3件随机基础装备、2金币和1个【装备重铸器】。  【装备重铸器】允许你将任一装备随机成另一件装备。,3.49,0.27,4.4,51.68,11.03,"{""id"":2184,""name"":""大百宝袋"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/grabbag2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得3件随机基础装备、2金币和1个【装备重铸器】。  【装备重铸器】允许你将任一装备随机成另一件装备。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":12.22,""avgRanking"":4.32},{""stagePickRate"":21.18,""avgRanking"":4.45}]},""allPickRate"":[3.49,0.27],""avgRanking"":4.4,""pickRate_4"":51.68,""pickRate_1"":11.03}"
7,4,2128,珠光莲花 I,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/jeweledlotus2.png,0,2,你的队伍获得20%暴击几率，并且其技能可以暴击。,3.35,0.26,4.33,52.98,14.67,"{""id"":2128,""name"":""珠光莲花 I"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/jeweledlotus2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""你的队伍获得20%暴击几率，并且其技能可以暴击。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":11.1,""avgRanking"":4.31},{""stagePickRate"":20.97,""avgRanking"":4.35}]},""allPickRate"":[3.35,0.26],""avgRanking"":4.33,""pickRate_4"":52.98,""pickRate_1"":14.67}"
8,4,20619,双城赢家,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/arcaneviktory2.png,2,2,在战斗环节开始8秒后，晕眩所有敌方弈子1.5秒。在战斗18秒后，重复该效果。  2024云顶之弈澳门公开赛,3.28,0.26,4.59,48.87,8.76,"{""id"":20619,""name"":""双城赢家"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/arcaneviktory2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""在战斗环节开始8秒后，晕眩所有敌方弈子1.5秒。在战斗18秒后，重复该效果。  2024云顶之弈澳门公开赛"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":8.68,""avgRanking"":4.8},{""stagePickRate"":22.68,""avgRanking"":4.51}]},""allPickRate"":[3.28,0.26],""avgRanking"":4.59,""pickRate_4"":48.87,""pickRate_1"":8.76}"
9,4,1646,团队建设,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/buildinganarmy1.png,2,1,获得1个【次级英雄复制器】。在5个玩家对战回合后获得另一个。  这个物品允许你能复制一个3阶或以下的弈子。,3.09,0.24,4.54,49.11,9.09,"{""id"":1646,""name"":""团队建设"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/buildinganarmy1.png"",""trend"":2,""extraData"":{""colorType"":1,""desc"":""获得1个【次级英雄复制器】。在5个玩家对战回合后获得另一个。  这个物品允许你能复制一个3阶或以下的弈子。"",""stage"":[{""stagePickRate"":10.41,""avgRanking"":4.47},{""stagePickRate"":18.54,""avgRanking"":4.57},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[3.09,0.24],""avgRanking"":4.54,""pickRate_4"":49.11,""pickRate_1"":9.09}"
10,4,30599,灵魂唤醒,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/awakenedsoul3.png,2,3,战斗开始时：你的队伍每秒获得2%物理加成和法术加成，持续10秒。在最大层数时，造成12%额外真实伤害。,3.08,0.24,4.23,56.21,8.89,"{""id"":30599,""name"":""灵魂唤醒"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/awakenedsoul3.png"",""trend"":2,""extraData"":{""colorType"":3,""desc"":""战斗开始时：你的队伍每秒获得2%物理加成和法术加成，持续10秒。在最大层数时，造成12%额外真实伤害。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":13.04,""avgRanking"":4.34},{""stagePickRate"":16.45,""avgRanking"":4.14}]},""allPickRate"":[3.08,0.24],""avgRanking"":4.23,""pickRate_4"":56.21,""pickRate_1"":8.89}"
