_row_id,augment_ranking_row_id,stage_order,stage_pick_rate,avg_ranking,raw_json
1,1,1,17.68,4.25,"{""stagePickRate"":17.68,""avgRanking"":4.25}"
2,1,2,17.45,4.42,"{""stagePickRate"":17.45,""avgRanking"":4.42}"
3,1,3,24.58,4.51,"{""stagePickRate"":24.58,""avgRanking"":4.51}"
4,2,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
5,2,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
6,2,3,56.45,4.4,"{""stagePickRate"":56.45,""avgRanking"":4.4}"
7,3,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
8,3,2,15.29,4.26,"{""stagePickRate"":15.29,""avgRanking"":4.26}"
9,3,3,27.77,4.56,"{""stagePickRate"":27.77,""avgRanking"":4.56}"
10,4,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
11,4,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
12,4,3,36.68,4.24,"{""stagePickRate"":36.68,""avgRanking"":4.24}"
13,5,1,35.89,4.31,"{""stagePickRate"":35.89,""avgRanking"":4.31}"
14,5,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
15,5,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
16,6,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
17,6,2,12.22,4.32,"{""stagePickRate"":12.22,""avgRanking"":4.32}"
18,6,3,21.18,4.45,"{""stagePickRate"":21.18,""avgRanking"":4.45}"
19,7,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
20,7,2,11.1,4.31,"{""stagePickRate"":11.1,""avgRanking"":4.31}"
21,7,3,20.97,4.35,"{""stagePickRate"":20.97,""avgRanking"":4.35}"
22,8,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
23,8,2,8.68,4.8,"{""stagePickRate"":8.68,""avgRanking"":4.8}"
24,8,3,22.68,4.51,"{""stagePickRate"":22.68,""avgRanking"":4.51}"
25,9,1,10.41,4.47,"{""stagePickRate"":10.41,""avgRanking"":4.47}"
26,9,2,18.54,4.57,"{""stagePickRate"":18.54,""avgRanking"":4.57}"
27,9,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
28,10,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
29,10,2,13.04,4.34,"{""stagePickRate"":13.04,""avgRanking"":4.34}"
30,10,3,16.45,4.14,"{""stagePickRate"":16.45,""avgRanking"":4.14}"
31,11,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
32,11,2,9,4.54,"{""stagePickRate"":9,""avgRanking"":4.54}"
33,11,3,20.41,4.27,"{""stagePickRate"":20.41,""avgRanking"":4.27}"
34,12,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
35,12,2,14.66,4.34,"{""stagePickRate"":14.66,""avgRanking"":4.34}"
36,12,3,14.41,4.36,"{""stagePickRate"":14.41,""avgRanking"":4.36}"
37,13,1,8.02,4.58,"{""stagePickRate"":8.02,""avgRanking"":4.58}"
38,13,2,6.66,4.36,"{""stagePickRate"":6.66,""avgRanking"":4.36}"
39,13,3,14.14,4.44,"{""stagePickRate"":14.14,""avgRanking"":4.44}"
40,14,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
41,14,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
42,14,3,28.68,5,"{""stagePickRate"":28.68,""avgRanking"":5}"
43,15,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
44,15,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
