comp_row_id,base_trait_name,unit_count,activated_level
1,德玛西亚,4,3
1,护卫,4,4
1,正义巨像,1,1
1,狙神,3,3
1,皮尔特沃夫,2,2
1,虚空之女,1,1
2,主宰,2,2
2,山隐之焰,1,1
2,枪手,2,2
2,比尔吉沃特,4,3
2,永猎双子,1,1
2,河流之王,1,1
2,神盾使,2,2
2,系魂圣枪,1,1
2,迅击战士,2,2
2,龙血武姬,1,1
3,巨神峰,3,3
3,护卫,2,2
3,法师,2,2
3,皮尔特沃夫,2,2
3,耀光使,2,2
3,虚空,2,2
4,主宰,2,2
4,巨神峰,1,1
4,护卫,2,2
4,法师,5,4
4,系魂圣枪,1,1
4,解脱者,1,1
4,黑暗之女,1,1
4,龙血武姬,1,1
5,主宰,2,2
5,山隐之焰,1,1
5,护卫,2,2
5,永猎双子,1,1
5,法师,2,2
5,系魂圣枪,1,1
5,解脱者,1,1
5,诺克萨斯,3,3
5,迅击战士,2,2
5,龙血武姬,1,1
6,主宰,2,2
6,以绪塔尔,5,5
6,护卫,2,2
6,法师,2,2
6,狂野女猎手,1,1
6,龙血武姬,1,1
7,护卫,2,2
7,斗士,2,2
7,法师,2,2
7,腕豪,1,1
7,艾欧尼亚,7,7
7,裁决战士,2,2
8,弗雷尔卓德,3,3
8,护卫,2,2
8,枪手,2,2
8,皮尔特沃夫,2,2
8,祖安,3,3
8,神盾使,2,2
8,系魂圣枪,1,1
8,迅击战士,2,2
9,主宰,2,2
9,护卫,2,2
9,法师,3,2
9,狙神,2,2
9,约德尔人,5,4
9,解脱者,1,1
9,龙血武姬,1,1
10,德玛西亚,5,5
10,护卫,4,4
10,正义巨像,1,1
10,狙神,2,2
10,虚空之女,1,1
11,德玛西亚,5,5
11,护卫,3,2
11,正义巨像,1,1
11,法师,2,2
11,狙神,3,3
11,虚空,2,2
11,虚空之女,1,1
12,主宰,2,2
12,护卫,2,2
12,狙神,2,2
12,约德尔人,7,6
12,龙血武姬,1,1
13,弗雷尔卓德,5,5
13,护卫,2,2
13,斗士,2,2
13,皮尔特沃夫,2,2
13,神盾使,2,2
13,神谕者,3,2
14,巨神峰,1,1
14,斗士,6,6
14,星界游神,1,1
15,巨神峰,1,1
15,德玛西亚,3,3
15,护卫,2,2
15,正义巨像,1,1
15,符文法师,1,1
15,约德尔人,2,2
15,腕豪,1,1
15,艾欧尼亚,3,3
15,解脱者,1,1
16,护卫,2,2
16,法师,2,2
16,狙神,2,2
16,约德尔人,8,8
17,枪手,4,4
17,比尔吉沃特,3,3
17,海克斯机甲,1,1
17,皮尔特沃夫,3,2
17,神盾使,3,3
17,系魂圣枪,1,1
18,斗士,2,2
18,永猎双子,1,1
18,腕豪,1,1
18,艾欧尼亚,6,5
18,迅击战士,2,2
18,龙血武姬,1,1
19,主宰,2,2
19,山隐之焰,1,1
19,征服者,2,2
19,暗影岛,3,3
19,神盾使,5,5
19,远古恐惧,1,1
19,龙血武姬,1,1
20,主宰,3,2
20,斗士,2,2
20,法师,2,2
20,狙神,2,2
20,纳什男爵,1,1
20,虚空,5,4
20,虚空之女,1,1
20,龙血武姬,1,1
21,以绪塔尔,6,5
21,护卫,2,2
21,星界游神,1,1
21,狂野女猎手,1,1
22,主宰,2,2
22,巨神峰,5,5
22,法师,2,2
22,铸星龙王,1,1
22,龙血武姬,1,1
23,主宰,2,2
23,巨神峰,2,2
23,皮尔特沃夫,2,2
23,神盾使,3,3
23,耀光使,2,2
23,虚空,2,2
24,护卫,2,2
24,斗士,3,2
24,法师,2,2
24,神谕者,2,2
24,约德尔人,2,2
24,艾欧尼亚,4,3
24,诺克萨斯,3,3
25,主宰,4,4
25,征服者,2,2
25,暗裔,1,1
25,暗裔剑魔,1,1
25,虚空,2,2
25,裁决战士,4,4
25,诺克萨斯,3,3
25,龙血武姬,1,1
