trait_row_id,trait_id,trait_name,base_trait_name,active_num,trait_img,trend,all_pick_rate_main,all_pick_rate_sub,avg_ranking,pick_rate_4,pick_rate_1,extra_index,extra_num,extra_color,available_levels,available_level_count
1,82510101,2 护卫,护卫,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_defender.png,0,58.22,4.65,4.49,50.22,12.61,1,2,1,2|4|6,3
2,82900101,2 皮尔特沃夫,皮尔特沃夫,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_piltover.png,2,46.07,3.68,4.44,51.58,9.8,1,2,1,2|4|6,3
3,82560101,2 主宰,主宰,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_juggernaut.png,1,40.64,3.25,4.09,56.3,18.87,1,2,1,2|4|6,3
4,82740101,1 龙血武姬,龙血武姬,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_dragonborn.png,1,39.45,3.15,3.89,60.1,20.97,1,1,5,1,1
5,82570101,2 法师,法师,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_arcanist.png,1,36.45,2.91,4.18,56.02,15.07,1,2,1,2|4|6,3
6,82760101,1 系魂圣枪,系魂圣枪,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_soulbound.png,1,34.23,2.73,3.92,59.91,20.43,1,1,5,1,1
7,82520101,1 巨神峰,巨神峰,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_targon.png,0,23.11,1.84,4.53,49.2,11.74,1,1,3,1|2|3|4|5|6,6
8,82650101,1 解脱者,解脱者,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_chainbreaker.png,0,23.02,1.84,3.32,71.21,26.58,1,1,5,1,1
9,82580101,2 神盾使,神盾使,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_warden.png,0,21.73,1.73,4.42,51.25,10.64,1,2,1,2|3|4|5,4
10,82590101,2 迅击战士,迅击战士,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_quickstriker.png,1,21.73,1.73,4.33,52.14,14.44,1,2,1,2|3|4|5,4
11,82920101,1 山隐之焰,山隐之焰,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_blacksmith.png,0,20.89,1.67,4.28,52.25,18.17,1,1,5,1,1
12,82660101,1 永猎双子,永猎双子,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_eternal.png,1,19.99,1.59,4.15,55.28,17.59,1,1,5,1,1
13,82610101,2 斗士,斗士,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_brawler.png,1,18.74,1.49,4.24,54.24,14.46,1,2,1,2|4|6,3
14,82600101,2 枪手,枪手,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_gunslinger.png,1,16.12,1.28,4.27,53.93,13.71,1,2,1,2|4,2
15,82820101,1 正义巨像,正义巨像,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_heroic.png,2,14.96,1.19,3.53,71.05,15.16,1,1,5,1,1
16,82510102,4 护卫,护卫,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_defender.png,2,13.97,1.11,4.2,56.25,11.05,2,4,2,2|4|6,3
17,82500101,2 虚空,虚空,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_void.png,0,13.82,1.1,4.25,56.53,6.68,1,2,1,2|4|6|9,4
18,82850101,2 耀光使,耀光使,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_disruptor.png,2,13.02,1.04,4.23,56.44,7.54,1,2,1,2|4,2
19,82670101,1 远古恐惧,远古恐惧,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_harvester.png,1,12.03,0.96,4.02,57.79,19.87,1,1,5,1,1
20,82960101,3 德玛西亚,德玛西亚,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_demacia.png,2,11.76,0.94,5.05,37.33,6.6,1,3,1,3|5|7|11,4
21,82780101,1 河流之王,河流之王,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_glutton.png,1,11.46,0.91,4.15,54.6,16.39,1,1,5,1,1
22,82860101,1 星界游神,星界游神,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_caretaker.png,2,11.34,0.9,5.32,36.73,5.12,1,1,5,1,1
23,82620101,3 诺克萨斯,诺克萨斯,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_noxus.png,1,10.67,0.85,4.58,46.92,14.36,1,3,1,3|5|7|10,4
24,82640101,1 虚空之女,虚空之女,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_assimilator.png,2,10.18,0.81,4.47,51.85,7.42,1,1,5,1,1
25,82960102,5 德玛西亚,德玛西亚,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_demacia.png,2,10.06,0.8,3.57,71.44,13.25,2,5,2,3|5|7|11,4
26,82800101,1 黑暗之女,黑暗之女,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_darkchild.png,2,9.16,0.73,4.3,52.63,19.47,1,1,5,1,1
27,82870101,2 狙神,狙神,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_longshot.png,0,8.88,0.71,4.48,50.15,12.11,1,2,1,2|3|4|5,4
28,82520102,2 巨神峰,巨神峰,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_targon.png,2,8.72,0.69,4.45,51.92,5.93,2,2,3,1|2|3|4|5|6,6
