_row_id,unit_ranking_row_id,equipment_order,equipment_id,equipment_img,raw_json
1,1,1,2044,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png,"{""equipmentId"":2044,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png""}"
2,1,2,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
3,1,3,2007,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/steraksgage.png,"{""equipmentId"":2007,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/steraksgage.png""}"
4,1,4,41605,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/41605.png,"{""equipmentId"":41605,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/41605.png""}"
5,1,5,41602,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/41602.png,"{""equipmentId"":41602,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/41602.png""}"
6,2,1,2044,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png,"{""equipmentId"":2044,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png""}"
7,2,2,2007,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/steraksgage.png,"{""equipmentId"":2007,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/steraksgage.png""}"
8,2,3,2006,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2006.png,"{""equipmentId"":2006,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2006.png""}"
9,2,4,2012,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2052.png,"{""equipmentId"":2012,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2052.png""}"
10,2,5,2039,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2039.png,"{""equipmentId"":2039,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2039.png""}"
11,3,1,2004,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2004.png,"{""equipmentId"":2004,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2004.png""}"
12,3,2,2001,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2001.png,"{""equipmentId"":2001,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2001.png""}"
13,3,3,2010,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2010.png,"{""equipmentId"":2010,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2010.png""}"
14,3,4,2037,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2053.png,"{""equipmentId"":2037,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2053.png""}"
15,3,5,2009,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2009.png,"{""equipmentId"":2009,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2009.png""}"
16,4,1,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
17,4,2,2044,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png,"{""equipmentId"":2044,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png""}"
18,4,3,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
19,4,4,2036,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2036.png,"{""equipmentId"":2036,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2036.png""}"
20,4,5,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
21,5,1,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
22,5,2,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
23,5,3,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
24,5,4,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
25,5,5,2032,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png,"{""equipmentId"":2032,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png""}"
