comp_row_id,comp_name,display_comp_name,best_enemy_1,best_score_1,best_label_1,best_enemy_2,best_score_2,best_label_2,best_enemy_3,best_score_3,best_label_3,worst_enemy_1,worst_score_1,worst_label_1,worst_enemy_2,worst_score_2,worst_label_2,worst_enemy_3,worst_score_3,worst_label_3
21,以绪塔尔 巴德 && 妮蔻,以绪塔尔 巴德 && 妮蔻,以绪塔尔岩宝,-1.5,小劣,德玛西亚 卡莎 && 盖伦,-1.5,小劣,德玛西亚 瑞兹 && 塔里克,-1.5,小劣,巨神峰玛尔扎哈,-2.8,小劣,诺克萨斯 乐芙兰 && 德莱厄斯,-2.8,小劣,弗雷尔卓德 丽桑卓 && 布隆,-2.5,小劣
6,以绪塔尔 奈德丽 && 斯卡纳,以绪塔尔岩宝,暗影岛 卡莉丝塔 && 锤石,1.82,小优,以绪塔尔 巴德 && 妮蔻,1.5,小优,枪手海克斯霸龙,1.27,小优,约德尔人 吉格斯 && 凯南,-1.89,小劣,裁决战士 阿狸 && 永恩,-1.33,小劣,德玛西亚 瑞兹 && 塔里克,-1.04,小劣
22,巨神峰 奥瑞利安·索尔 && 塔里克,巨神峰 奥瑞利安·索尔 && 塔里克,以绪塔尔 巴德 && 妮蔻,1.5,小优,枪手海克斯霸龙,-1.13,小劣,暗影岛 卡莉丝塔 && 锤石,-1.28,小劣,弗雷尔卓德 丽桑卓 && 布隆,-3.83,明显被克,巨神峰玛尔扎哈,-3.7,明显被克,约德尔人 吉格斯 && 凯南,-3.3,明显被克
3,巨神峰 玛尔扎哈 && 蕾欧娜,巨神峰玛尔扎哈,巨神峰 奥瑞利安·索尔 && 塔里克,3.5,明显克制,以绪塔尔 巴德 && 妮蔻,3.2,明显克制,约德尔人维迦,2.98,小优,护卫薇恩,-2.0,明显被克,以绪塔尔岩宝,-1.0,小劣,枪手海克斯霸龙,-1.0,小劣
13,弗雷尔卓德 丽桑卓 && 布隆,弗雷尔卓德 丽桑卓 && 布隆,枪手海克斯霸龙,3.5,明显克制,巨神峰 奥瑞利安·索尔 && 塔里克,3.23,明显克制,暗影岛 卡莉丝塔 && 锤石,3.05,明显克制,巨神峰玛尔扎哈,-1.0,小劣,约德尔人 吉格斯 && 凯南,-0.56,五五开,法师安妮,-0.3,五五开
8,弗雷尔卓德 金克丝 && 瑟庄妮,弗雷尔卓德 金克丝 && 瑟庄妮,暗影岛 卡莉丝塔 && 锤石,2.89,小优,巨神峰 奥瑞利安·索尔 && 塔里克,2.88,小优,以绪塔尔 巴德 && 妮蔻,2.2,小优,巨神峰玛尔扎哈,-1.36,小劣,法师安妮,-0.8,五五开,裁决战士 阿狸 && 永恩,-0.66,五五开
11,德玛西亚 卡莎 && 盖伦,德玛西亚 卡莎 && 盖伦,暗影岛 卡莉丝塔 && 锤石,1.7,小优,枪手海克斯霸龙,1.7,小优,巨神峰 奥瑞利安·索尔 && 塔里克,1.69,小优,巨神峰玛尔扎哈,-1.64,小劣,法师安妮,-1.3,小劣,约德尔人 吉格斯 && 凯南,-1.19,小劣
15,德玛西亚 瑞兹 && 塔里克,德玛西亚 瑞兹 && 塔里克,暗影岛 卡莉丝塔 && 锤石,2.4,小优,巨神峰 奥瑞利安·索尔 && 塔里克,1.7,小优,枪手海克斯霸龙,1.7,小优,巨神峰玛尔扎哈,-2.19,小劣,法师安妮,-1.01,小劣,约德尔人 吉格斯 && 凯南,-0.85,五五开
1,德玛西亚 薇恩 && 德莱厄斯,护卫薇恩,巨神峰 奥瑞利安·索尔 && 塔里克,2.3,小优,巨神峰玛尔扎哈,2.0,明显克制,以绪塔尔 巴德 && 妮蔻,1.5,小优,约德尔人 吉格斯 && 凯南,-1.76,小劣,弗雷尔卓德 丽桑卓 && 布隆,-1.3,小劣,以绪塔尔岩宝,-1.0,小劣
14,斗士 巴德 && 赛恩,斗士 巴德 && 赛恩,以绪塔尔 巴德 && 妮蔻,2.2,小优,巨神峰 奥瑞利安·索尔 && 塔里克,2.13,小优,枪手海克斯霸龙,1.6,小优,巨神峰玛尔扎哈,-2.5,小劣,弗雷尔卓德 丽桑卓 && 布隆,-1.9,小劣,约德尔人 吉格斯 && 凯南,-1.55,小劣
19,暗影岛 卡莉丝塔 && 锤石,暗影岛 卡莉丝塔 && 锤石,以绪塔尔 巴德 && 妮蔻,1.5,小优,巨神峰 奥瑞利安·索尔 && 塔里克,0.68,五五开,枪手海克斯霸龙,0.16,五五开,巨神峰玛尔扎哈,-2.7,小劣,德玛西亚 卡莎 && 盖伦,-2.3,小劣,德玛西亚 瑞兹 && 塔里克,-2.3,小劣
17,皮尔特沃夫 海克斯霸龙 && 蔚,枪手海克斯霸龙,以绪塔尔 巴德 && 妮蔻,1.5,小优,巨神峰玛尔扎哈,1.0,小优,护卫薇恩,1.0,小优,弗雷尔卓德 丽桑卓 && 布隆,-4.2,明显被克,约德尔人 吉格斯 && 凯南,-3.3,明显被克,诺克萨斯 乐芙兰 && 德莱厄斯,-2.82,小劣
2,比尔吉沃特 厄运小姐 && 诺提勒斯,比尔沃特厄运小姐,巨神峰 奥瑞利安·索尔 && 塔里克,2.3,小优,以绪塔尔 巴德 && 妮蔻,1.5,小优,枪手海克斯霸龙,1.5,小优,法师安妮,-1.19,小劣,巨神峰玛尔扎哈,-1.17,小劣,弗雷尔卓德 丽桑卓 && 布隆,-1.07,小劣
4,法师 安妮 && 斯维因,法师安妮,巨神峰 奥瑞利安·索尔 && 塔里克,1.7,小优,以绪塔尔 巴德 && 妮蔻,1.5,小优,巨神峰玛尔扎哈,1.0,小优,约德尔人 吉格斯 && 凯南,-0.43,五五开,弗雷尔卓德 丽桑卓 && 布隆,-0.3,五五开,以绪塔尔岩宝,0.0,条件互克
23,神盾使 玛尔扎哈 && 萨勒芬妮,神盾使 玛尔扎哈 && 萨勒芬妮,以绪塔尔 巴德 && 妮蔻,2.2,小优,巨神峰 奥瑞利安·索尔 && 塔里克,2.11,小优,枪手海克斯霸龙,1.58,小优,巨神峰玛尔扎哈,-1.62,小劣,约德尔人 吉格斯 && 凯南,-1.58,小劣,裁决战士 阿狸 && 永恩,-1.42,小劣
9,约德尔人 吉格斯 && 凯南,约德尔人 吉格斯 && 凯南,巨神峰 奥瑞利安·索尔 && 塔里克,2.7,小优,枪手海克斯霸龙,2.7,小优,以绪塔尔 巴德 && 妮蔻,2.5,小优,裁决战士 阿狸 && 永恩,-0.45,五五开,巨神峰玛尔扎哈,-0.44,五五开,法师安妮,-0.17,五五开
12,约德尔人 维迦 && 凯南,约德尔人维迦,暗影岛 卡莉丝塔 && 锤石,2.3,小优,枪手海克斯霸龙,2.3,小优,巨神峰 奥瑞利安·索尔 && 塔里克,2.25,小优,巨神峰玛尔扎哈,-2.58,小劣,弗雷尔卓德 丽桑卓 && 布隆,-1.58,小劣,约德尔人 吉格斯 && 凯南,-1.24,小劣
20,虚空 卡莎 && 峡谷先锋,虚空 卡莎 && 峡谷先锋,以绪塔尔 巴德 && 妮蔻,1.5,小优,暗影岛 卡莉丝塔 && 锤石,0.92,五五开,巨神峰 奥瑞利安·索尔 && 塔里克,0.91,五五开,约德尔人 吉格斯 && 凯南,-2.78,小劣,巨神峰玛尔扎哈,-2.42,小劣,裁决战士 阿狸 && 永恩,-2.22,小劣
7,裁决战士 阿狸 && 永恩,裁决战士 阿狸 && 永恩,巨神峰 奥瑞利安·索尔 && 塔里克,3.0,明显克制,暗影岛 卡莉丝塔 && 锤石,2.9,小优,诺克千珏,2.62,小优,巨神峰玛尔扎哈,-0.7,五五开,法师安妮,-0.32,五五开,德玛西亚 瑞兹 && 塔里克,0.09,五五开
5,诺克萨斯 千珏 && 德莱文,诺克千珏,以绪塔尔 巴德 && 妮蔻,1.5,小优,巨神峰 奥瑞利安·索尔 && 塔里克,1.5,小优,护卫薇恩,1.0,小优,裁决战士 阿狸 && 永恩,-1.52,小劣,德玛西亚 瑞兹 && 塔里克,-1.03,小劣,巨神峰玛尔扎哈,-1.0,小劣
24,诺克萨斯 乐芙兰 && 德莱厄斯,诺克萨斯 乐芙兰 && 德莱厄斯,以绪塔尔 巴德 && 妮蔻,3.2,明显克制,枪手海克斯霸龙,2.62,小优,巨神峰 奥瑞利安·索尔 && 塔里克,2.35,小优,巨神峰玛尔扎哈,-1.48,小劣,裁决战士 阿狸 && 永恩,-1.2,小劣,诺克千珏,-1.16,小劣
25,诺克萨斯 卑尔维斯 && 斯维因,诺克萨斯 卑尔维斯 && 斯维因,枪手海克斯霸龙,2.37,小优,以绪塔尔 巴德 && 妮蔻,2.2,小优,暗影岛 卡莉丝塔 && 锤石,2.11,小优,巨神峰玛尔扎哈,-1.24,小劣,裁决战士 阿狸 && 永恩,-0.64,五五开,德玛西亚 瑞兹 && 塔里克,-0.54,五五开
18,迅击战士 芸阿娜 && 孙悟空,迅击战士 芸阿娜 && 孙悟空,巨神峰 奥瑞利安·索尔 && 塔里克,2.3,小优,以绪塔尔 巴德 && 妮蔻,1.5,小优,枪手海克斯霸龙,1.5,小优,法师安妮,-1.31,小劣,巨神峰玛尔扎哈,-1.29,小劣,弗雷尔卓德 丽桑卓 && 布隆,-1.19,小劣
